product_code,product_description
PICG0001,CALF GROWTH FEED
PICH0001,CENTERFUG MACHINE SET (ELE)
PICI0001,Contractor Bill pad (Milk Transport)
PICK0001,CASH BOOK
PICL0001,PP/PET STRAPPING CLIP
PICM0001,POWER CHORDS CPU TO MONITOR
PICN0001,CARRIAGE UNIT
PICN1001,10LTR LN2 Containers
PICO0001,FODDER COWPEA
PICP0001,UP FUSE CARRIER FOR AC POWER
PICR0001,CASH CREDIT BILL BOOK
PICS0001,MVR WING CASE SHEET PAD
PICT0001,EXTERNAL PCI I/O CARD TAG
PICU0001,CHAFFCUTTER 2HP
PICV0001,C-MOS BATTERY 1VOLTS
PICW0001,CLEANING/SANITIZER POWDER
PICW2001,CLEANING SOLUTION 200ML-WEEKLY
PICZ0001,CLOZENT - 10ML
PIDA0001,DAIRY REGISTER
PIDB0001,AI DETAILS BOOK(GIS)
PIDC0001,MPCS TERM DEPOSIT CERTIFICATE WITH COVER
PIDE0001,DATA CABLE 21 PIN
PIDH0001,DATA CABLE MBOARD TO HDD
PIDI0001,HARD DISK
PIDK0001,DISPLAY WITH KEY SHEET PAD LACTOSCAN
PIDL0001,ADOPTER (LACTOSCAN)
PIDM0001,ADOPTOR(MASTER CLASSIC)
PIDN0001,DELIVERY NOTE BOOK
PIDP0001,SONY VPL-EX110 DATA LCD PROJECTOR
PIDR0001,DROPPING BOTTLE PLASTIC.
PIDS0001,HARD DISK 160GB SEAGATE
PIDU0001,"80 GSM, 1/2 DUMMY MAPLITHO"
PIDV0001,"SMPS DELL VOSTRO270, FRONTECH"
PIDZ0001,DISPLAY (M.ANALYSER)
PIEB0001,EVM BOOKS
PIEC0001,Emergency Case Sheet Pad(GIS)
PIED2001,ESSAE MILK ANALYZER CLEANING SOLUTION- DAILY-200ML
PIEG5001,HARDDISK SEAGATE 500GB
PIEL0001,ELECTRONIC MILK TESTER
PIEM0001,AUTOMATIC MILK COLLECTION UNIT WITH EMAT
PIEM2001,EKOMILK MILK ANALYZER CLEANING SOLUTION- DAILY-200ML
PIEN0001,USE AND THROUG PEN BLUE COLOUR NATARAJ
PIEP0001,ALLU REGULATING PIN
PIES0001,KEY SHEET (ESSAE)
PIET0001,EU BOND/DPS/MB:TRANSFORMER
PIEU0001,EU MB/PRO KEYPAD
PIEV0001,EMERGENCY COUPAN BOOK RS 10/-
PIEW2001,ESSAE MILK ANALYZER CLEANING SOLUTION- WEEKLY-200ML
PIFA0001,FAT PAST SOLUTION 100ML
PIFA1001,AUTO EMT (FATOMATIC) FATFAST SOLUTION-100ML
PIFB0001,FOAM BOARD
PIFC0001,PROCESSOR FAN COMPATIBLE WITH MBOARD
PIFI0001,FIRST AID REGISTER.
PIFM0001,FILTER BAGS FOR BMC BALANCE TANKS
PIFO0001,FODDER REGISTER.
PIFP0001,FAT PLUS 1KG
PIFR0001,IFU PART#EXG-60058117-REFURBISHMENT
PIFS0001,CATTLE FEED STOCK BOOK-DCS.
PIFU0001,REFURBISH IFU
PIFW0001,SMPS FRONTECH 100 WATTS/150WATTS
